Charlus,character,0.5714285714285714
Réellement,other,1.0
ClarisseHarlowe,character,1.0
MBarricini,character,1.0
Vérone,place,1.0
PoloGriffo,character,1.0
Nanterre,place,1.0
MmedeVilleparisis,character,1.0
Vignon,character,0.0038849274649618883
LouisXVIII,character,1.0
Hauchecorne,character,1.0
République,place,0.01948051948051948
Laertès,character,0.5
LaFouilleuse,place,1.0
Esmeralda,character,0.5303030303030303
Washington,place,0.5572033898305084
Palamède,character,0.7096774193548387
Crainte,other,1.0
Jupiter,character,0.5047619047619047
Carrare,place,0.007792207792207791
Louis-Philippe,character,0.5517241379310345
MonsieurMadeleine,character,1.0
Askalaphos,character,0.5
Polidori,character,0.03676470588235294
Jackson,character,0.6581560283687943
OscarHusson,character,1.0
Prullière,place,1.0
Sper,place,1.0
Anderson,character,0.6510480887792849
LaFère,character,1.0
Sydney,place,1.0
John,character,0.6363636363636364
MonsieurRochester,character,1.0
Mathilde,character,0.7017543859649122
ZeusKronide,concept,1.0
Hèlios,other,0.6666666666666666
Sainte-Geneviève,place,0.03061224489795918
CôtedAzur,place,1.0
Poissonnière,place,0.5396825396825397
Cerisaie,place,0.003436426116838488
MMichel,character,0.6666666666666666
Chloris,character,0.55
MStevens,character,1.0
Cournet,character,0.6086956521739131
Saint-Honoré,place,0.0044045204288611995
Fermont,place,1.0
Réalité,other,1.0
Saint-Raphaël,character,0.005789909015715467
Vestphalie,other,0.75
Bocage,place,0.6666666666666666
RaoulNathan,character,1.0
Kiouni,character,1.0
Sceaux,place,0.003267306514192363
Mincio,place,1.0
Julliard,character,0.00883782589482987
Saveria,character,0.6666666666666666
Wickham,character,0.025450450450450447
Grèce,place,1.0
Galitch,character,0.03485838779956427
Simonet,character,0.8469387755102041
Mattoni,other,1.0
Tholomyès,character,1.0
Faloise,place,1.0
Saint-Thomas,character,0.002255509641873278
Arthur,character,0.017168636952253645
Eurypylos,character,0.7142857142857143
Laure,character,0.6320754716981132
Cécile,place,0.02868617326448652
Adélaïde,place,0.0213089802130898
MReed,character,1.0
ModesteMignon,character,1.0
Sophocle,character,1.0
Akhilleus,character,0.6666666666666666
Caton,character,0.6302521008403361
Reuter,character,0.7422680412371134
Veuve,place,0.005006118589387029
Lorraine,place,1.0
Pas,place,0.06694271911663216
Max-Paul,character,1.0
Ernest,character,0.027732793522267207
Vaugirard,place,0.6842105263157895
Chère,place,1.0
Castille,place,1.0
Chennevières,place,0.0036318646232439333
Montagne,place,1.0
Envie,other,1.0
Constantin,character,0.0028667341610273353
MmePierrot,character,1.0
Machard,character,0.7368421052631579
Lambert,character,0.7104895104895105
Italien,character,1.0
Danton,character,1.0
MWaterbrook,character,1.0
Eurynomè,place,0.03538461538461538
Mykènè,place,1.0
Kronos,character,0.5054945054945055
Enfant,other,1.0
Bartholoméo,other,1.0
Cabuche,character,1.0
Sainte-Hermandad,character,1.0
Schomberg,character,0.7681159420289855
Tchoung-Héou,character,1.0
Marie-Thérèse,character,0.09166666666666667
Roussainville,place,1.0
Philomène,place,0.14545454545454548
Adams,character,0.01730903107398266
Vice,other,1.0
CC,place,1.0
Pompadour,character,0.0024367956137678953
Potocki,character,0.027801418439716313
Automédôn,other,1.0
Bourdoncle,character,1.0
Felton,character,0.6384615384615384
Stuart,place,0.017246937459703418
Marines,character,0.6947368421052632
Sivry,character,0.026970080067425198
Alexandre,character,0.62751677852349
Antiphos,character,0.9
Elstir,character,1.0
Staël,character,0.04201680672268908
Ch,character,0.014777367295352908
Brindisi,place,1.0
Cl,character,0.025304592314901595
Chaperon,character,0.014443014443014445
Amiens,place,1.0
Rosny,character,0.12277227722772277
JacquesCoictier,character,1.0
Pétéos,concept,1.0
BenjaminConstant,character,1.0
Sicile,place,1.0
Polydamas,character,0.6206896551724138
Jésus,character,0.8888888888888888
Briarée,other,1.0
Dupanloup,character,0.006836397925506836
Neuve-Saint-Augustin,character,1.0
Parce,place,1.0
Vénus,place,0.06440198159943382
Bridau,character,1.0
Ellis,character,0.024975024975024976
Dulcinée,character,1.0
Clara,character,0.5042735042735043
Vaudremont,place,1.0
MmeDubreuil,character,1.0
Insensée,other,1.0
Blunderstone,character,1.0
Sien,place,0.01954022988505747
Gazette,character,0.0015617137205226536
Dolôn,character,0.5
LiseMeitner,character,1.0
MJohn,other,0.5
Virgile,character,1.0
Tourniquet,place,0.003076134324532171
Ducler,place,1.0
Eumaios,concept,1.0
